Date [mm/dd/yyyy], Time [HH:MM:SS.ZZ], Latitude [deg], Longitude [deg]
7/14/2021,22:8:32.0,37.79292967,-122.41942283
7/14/2021,22:8:33.0,37.79293200,-122.41942233
7/14/2021,22:8:33.0,37.79293200,-122.41942233
7/14/2021,22:8:34.0,37.79293600,-122.41942267
7/14/2021,22:8:34.0,37.79293600,-122.41942267
7/14/2021,22:8:35.0,37.79293983,-122.41942300
7/14/2021,22:8:35.0,37.79293983,-122.41942300
7/14/2021,22:8:36.0,37.79294167,-122.41942317
7/14/2021,22:8:36.0,37.79294167,-122.41942317
7/14/2021,22:8:37.0,37.79294367,-122.41942267
7/14/2021,22:8:37.0,37.79294367,-122.41942267
7/14/2021,22:8:38.0,37.79295367,-122.41942383
7/14/2021,22:8:38.0,37.79295367,-122.41942383
7/14/2021,22:8:39.0,37.79296283,-122.41942483
7/14/2021,22:8:39.0,37.79296283,-122.41942483
7/14/2021,22:8:40.0,37.79296967,-122.41942883
7/14/2021,22:8:40.0,37.79296967,-122.41942883
7/14/2021,22:8:41.0,37.79297950,-122.41943017
7/14/2021,22:8:41.0,37.79297950,-122.41943017
7/14/2021,22:8:42.0,37.79299267,-122.41943167
7/14/2021,22:8:42.0,37.79299267,-122.41943167
7/14/2021,22:8:43.0,37.79300450,-122.41943383
7/14/2021,22:8:43.0,37.79300450,-122.41943383
7/14/2021,22:8:44.0,37.79301367,-122.41943633
7/14/2021,22:8:44.0,37.79301367,-122.41943633
7/14/2021,22:8:45.0,37.79302533,-122.41943900
7/14/2021,22:8:45.0,37.79302533,-122.41943900
7/14/2021,22:8:46.0,37.79303800,-122.41944233
7/14/2021,22:8:46.0,37.79303800,-122.41944233
7/14/2021,22:8:47.0,37.79305233,-122.41944617
7/14/2021,22:8:47.0,37.79305233,-122.41944617
7/14/2021,22:8:47.0,37.79305233,-122.41944617
7/14/2021,22:8:48.0,37.79306917,-122.41945033
7/14/2021,22:8:48.0,37.79306917,-122.41945033
7/14/2021,22:8:49.0,37.79308533,-122.41945317
7/14/2021,22:8:49.0,37.79308533,-122.41945317
7/14/2021,22:8:50.0,37.79310467,-122.41945717
7/14/2021,22:8:50.0,37.79310467,-122.41945717
7/14/2021,22:8:51.0,37.79312583,-122.41946100
7/14/2021,22:8:51.0,37.79312583,-122.41946100
7/14/2021,22:8:52.0,37.79314767,-122.41946417
7/14/2021,22:8:52.0,37.79314767,-122.41946417
7/14/2021,22:8:52.0,37.79314767,-122.41946417
7/14/2021,22:8:53.0,37.79317717,-122.41946650
7/14/2021,22:8:53.0,37.79317717,-122.41946650
